,Building_IRN,Building_Name,District_IRN,performanceIndexPercent_2015_2016,performanceIndexPercent_2016_2017,performanceIndexPercent_2017_2018,Enrollment_Total_1516,Enrollment_Total_1617,Enrollment_Total_1718,Overall Value Added Grade 1516,Overall Value Added Grade 1617,Overall Value Added Grade 1718
0,224,Adlai Stevenson School,43786.0,43.903,49.271,48.158,378.0,395.0,443.0,F,F,F
1,318,Menlo Park Academy,43786.0,110.76,106.422,108.824,328.0,360.0,419.0,C,F,F
2,489,Almira,43786.0,46.384,46.791,49.955,424.0,439.0,547.0,F,F,F
3,729,Andrew J Rickoff,43786.0,44.327,47.131,49.875,406.0,386.0,442.0,F,F,F
4,828,Anton Grdina,43786.0,38.904,40.361,42.672,325.0,311.0,395.0,F,F,F
5,930,Cleveland Entrepreneurship Preparatory School,43786.0,73.607,75.062,76.657,295.0,311.0,323.0,A,A,A
6,936,Promise Academy,43786.0,,,44.667,,,210.0,,,NR
7,1040,Artemus Ward,43786.0,56.816,60.942,65.324,441.0,465.0,513.0,F,F,C
8,2378,Benjamin Franklin,43786.0,64.892,64.372,69.865,533.0,581.0,615.0,F,F,F
9,3137,Bolton,43786.0,36.583,41.123,38.271,300.0,277.0,329.0,F,F,F
10,4234,Buhrer,43786.0,71.772,77.072,70.19,346.0,343.0,395.0,F,F,F
11,5066,Case,43786.0,38.715,42.5,49.362,315.0,297.0,301.0,F,F,F
12,5637,Alfred Benesch,43786.0,39.222,39.879,40.343,325.0,299.0,319.0,F,F,F
13,5892,Charles A Mooney School,43786.0,52.23,57.381,62.922,461.0,455.0,455.0,F,F,D
14,5900,Charles Dickens School,43786.0,42.29,48.036,46.391,337.0,373.0,404.0,F,F,F
15,5942,Charles W Eliot  School,43786.0,52.793,50.404,50.0,318.0,287.0,326.0,A,C,F
16,6353,Clara E Westropp School,43786.0,58.551,63.577,71.534,352.0,372.0,345.0,F,D,A
17,6429,Clark School,43786.0,79.627,92.689,88.454,517.0,510.0,590.0,A,A,A
18,6940,Collinwood High School,43786.0,44.333,54.0,59.269,436.0,369.0,329.0,F,C,C
